44	36	32	30	36
48	39	28	30	34
54	33	29	23	32
27	26	29	18	31
26	30	26	15	30
30	13	26	9	30
24	5	28	23	29
19	6	29	33	28
34	33	24	33	27
31	25	22	34	19
23	22	33	29	15
33	29	44	20	6
54	33	55	36	5
32	29	39	39	20
32	25	35	50	34
26	36	40	26	21
26	48	31	30	13
23	51	33	32	15
19	34	24	35	34
17	21	22	37	49
25	17	27	32	22
44	32	18	30	18
49	23	16	30	15
55	16	30	30	34
57	13	49	25	39
30	29	34	22	50
22	25	20	33	27
24	12	7	26	27
31	8	4	27	27
25	13	19	29	25
30	-3	40	42	22
31	-15	44	24	32
23	-7	44	23	33
17	14	33	26	27
24	26	30	20	27
29	24	29	29	30
45	8	23	35	22
33	-1	31	28	15
29	11	29	24	22
37	7	31	23	25
35	34	32	34	28
32	42	24	36	22
38	31	32	32	16
40	25	25	28	23
39	28	24	25	49
30	34	29	27	56
25	37	27	21	35
25	34	23	13	33
26	52	29	18	31
23	47	33	36	36
19	36	26	48	44
25	32	21	25	43
24	27	30	19	33
24	31	27	26	36
23	36	24	33	34
12	47	21	33	35
-1	40	26	39	31
6	32	37	34	36
31	40	31	25	30
16	35	25	24	30
7	46	29	25	28
10	33	34	36	18
24	33	23	30	15
33	46	18	26	16
35	44	24	27	15
43	36	21	22	29
20	27	24	21	26
16	25	35	27	35
21	30	46	31	28
39	33	35	43	35
32	27	28	44	32
22	24	40	52	35
19	32	30	45	25
28	26	25	41	25
29	23	27	38	23
28	37	24	38	25
26	19	38	45	37
24	18	41	39	43
37	23	40	33	27
38	19	52	46	22
35	41	46	53	24
34	28	32	50	37
37	24	32	35	38
35	19	37	29	50
43	32	35	29	39
49	46	35	32	34
36	52	30	35	45
28	35	40	34	34
22	30	39	29	28
26	35	54	41	27
38	31	47	44	23
32	35	39	41	31
53	37	35	34	28
40	33	46	35	29
31	45	34	31	41
26	49	33	42	59
27	42	29	36	56
33	37	34	38	38
25	39	38	51	33
39	39	34	44	51
40	36	32	35	51
29	36	45	38	40
24	40	47	33	37
25	38	39	27	52
33	32	38	38	60
30	29	34	35	43
40	35	38	40	40
50	41	46	28	52
44	34	48	26	62
36	43	52	31	58
32	39	56	34	60
39	30	62	43	58
59	41	48	56	56
60	60	50	52	54
46	50	49	54	55
36	49	47	40	62
42	61	46	40	56
36	64	49	42	46
45	63	50	46	51
51	62	48	58	63
46	64	52	56	66
46	52	56	56	64
54	50	49	48	38
60	46	49	53	31
